2025-11-11T17:24:13.160Z [POST] /api/admin/getnotice 404 33ms - ::1
2025-11-11T17:24:13.161Z [GET] /api/admin/getallfaculty 304 30ms - ::1
2025-11-11T17:24:13.162Z [GET] /api/admin/getalladmin 304 29ms - ::1
2025-11-11T17:24:13.163Z [GET] /api/admin/getalldepartment 304 28ms - ::1
2025-11-11T17:24:15.189Z [GET] /api/admin/getallstudent 304 34ms - ::1
2025-11-11T17:24:15.190Z [GET] /api/admin/getallfaculty 304 34ms - ::1
2025-11-11T17:24:15.191Z [GET] /api/admin/getalldepartment 304 32ms - ::1
2025-11-11T17:24:15.191Z [GET] /api/admin/getalladmin 304 34ms - ::1
2025-11-11T17:24:15.192Z [POST] /api/admin/getnotice 404 34ms - ::1
2025-11-11T17:24:16.915Z [GET] /api/admin/getallstudent 304 29ms - ::1
2025-11-11T17:24:16.916Z [GET] /api/admin/getallfaculty 304 29ms - ::1
2025-11-11T17:24:16.917Z [GET] /api/admin/getalladmin 304 28ms - ::1
